matrix_size,iteration_norm,error_delta_normed,duration,error_time
500,0.256,0.00418865132762,0.02202,0.190220314606
500,0.258,0.00412783770387,0.022526,0.183247700607
500,0.26,0.00421014212894,0.021723,0.193810345207
500,0.262,0.00429424675811,0.024398,0.176008146492
500,0.264,0.0042349884563,0.02607,0.162446814588
500,0.266,0.00431926000233,0.026846,0.160890263068
500,0.268,0.00440541439737,0.031265,0.140905626015
500,0.27,0.00434774281442,0.030082,0.144529712599
500,0.272,0.00443418417344,0.028098,0.157811380648
500,0.274,0.00452259958816,0.024445,0.185011232897
500,0.276,0.0044665593199,0.027791,0.160719632971
500,0.278,0.00455539078146,0.024431,0.186459448302
500,0.28,0.0046462971125,0.02534,0.183358212806
500,0.282,0.00459194731104,0.024401,0.188186849352
500,0.284,0.00468340948675,0.026339,0.177812729669
500,0.286,0.00477705817226,0.02695,0.177256332923
500,0.288,0.00472447422534,0.027015,0.174883369437
500,0.29,0.00481883120873,0.031457,0.153187882148
500,0.292,0.00491549859666,0.032516,0.151171687682
500,0.294,0.00486477419043,0.034345,0.141644320583
500,0.296,0.00496231724623,0.032782,0.151373230621
500,0.298,0.00506230853434,0.029272,0.172940302485
500,0.3,0.00501355817791,0.029403,0.170511790563
500,0.302,0.00511461007726,0.028984,0.176463223753
500,0.304,0.00521826395187,0.034471,0.151381275619
500,0.306,0.0051716260632,0.041543,0.124488507407
500,0.308,0.00527654621031,0.030182,0.174824273087
500,0.31,0.00538424034268,0.031236,0.172372914031
500,0.312,0.00533988102347,0.032746,0.163069719156
500,0.314,0.00544907155697,0.029578,0.18422718091
500,0.316,0.00556122915783,0.041728,0.133273321459
500,0.318,0.005519346821,0.032383,0.17043963873
500,0.32,0.00563325992217,0.037066,0.151979170187
500,0.322,0.00575035760932,0.031628,0.181812242611
500,0.324,0.00571118867083,0.031031,0.184047844763
500,0.326,0.00583033537581,0.030151,0.193371210766
500,0.328,0.00595291268159,0.038839,0.153271522995
500,0.33,0.00591673859166,0.033179,0.178327815536
500,0.332,0.00604169949059,0.031044,0.194617300947
500,0.334,0.00617037043188,0.035997,0.171413463119
500,0.336,0.0061375264064,0.041535,0.147767579304
500,0.338,0.00626896472749,0.036835,0.170190436473
500,0.34,0.00640443198952,0.034299,0.186723577641
500,0.342,0.00637531791841,0.035679,0.178685442933
500,0.344,0.006513995651,0.033929,0.191989025642
500,0.346,0.0066570681112,0.033406,0.199277618128
500,0.348,0.00663216227978,0.035466,0.187000571809
500,0.35,0.00677896020351,0.036822,0.184100814826
500,0.352,0.00693057476176,0.043232,0.160311222284
500,0.354,0.00691045124226,0.040646,0.170015530243
500,0.356,0.00706639402481,0.043132,0.163831819179
500,0.358,0.0072276430401,0.041935,0.172353476573
500,0.36,0.007212993921,0.041929,0.172028761025
500,0.362,0.00737928186001,0.039455,0.187030334812
500,0.364,0.00755144796299,0.038195,0.197707761827
500,0.366,0.00754311202612,0.038929,0.193765882147
500,0.368,0.00772116159831,0.038814,0.198927232398
500,0.37,0.00790576231919,0.043284,0.182648607319
500,0.372,0.00790476241268,0.041084,0.192404887856
500,0.374,0.008096258639,0.046457,0.17427424584
500,0.376,0.00829510426026,0.049381,0.167981698634
500,0.378,0.00830269655168,0.049443,0.167924611202
500,0.38,0.00850966142537,0.043384,0.196147460478
500,0.382,0.00872493089644,0.040484,0.215515534444
500,0.384,0.00874267058578,0.042616,0.205149957429
500,0.386,0.00896755365417,0.046165,0.194250052078
500,0.388,0.00920189554457,0.045462,0.202408506985
500,0.39,0.00923172573581,0.049239,0.187488083345
500,0.392,0.00947752572435,0.055497,0.170775460373
500,0.394,0.00973419445953,0.066451,0.146486801696
500,0.396,0.00977856817259,0.060916,0.160525447708
500,0.398,0.0100489988746,0.052259,0.192292215209
500,0.4,0.0103320415994,0.064537,0.160094854105
500,0.402,0.0103940921048,0.104664,0.099309142635
500,0.404,0.0106938126325,0.064093,0.166848370845
500,0.406,0.0110083301997,0.046844,0.234999790789
500,0.408,0.011092113302,0.048022,0.230979828036
500,0.41,0.0114270539714,0.064653,0.176744373369
500,0.412,0.0117795729351,0.069206,0.170210284297
500,0.414,0.0118904189222,0.059707,0.199146145715
500,0.416,0.0122682527483,0.054962,0.223213361019
500,0.418,0.0126672678665,0.052665,0.240525355863
500,0.42,0.0128123050999,0.054746,0.234031803236
500,0.422,0.0132431472092,0.052693,0.251326498951
500,0.424,0.013699933528,0.052127,0.26281837681
500,0.426,0.0138888888889,0.052248,0.265826230456
500,0.428,0.0143863641171,0.054255,0.265161996445
500,0.43,0.0149162295951,0.052873,0.282114303994
500,0.432,0.0151626912535,0.056459,0.268561101924
500,0.434,0.0157456185757,0.058447,0.269399944834
500,0.436,0.0163699047166,0.053263,0.307341019405
500,0.438,0.0166933886666,0.055031,0.3033451812
500,0.44,0.0173885438784,0.059699,0.291270270497
500,0.442,0.0181379547028,0.059522,0.304726902705
